EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V),Ang Sep (')
228865023,12 30 50.308,-04 03 38.89,0,6.559,61054,4951-1149-1,430-055281,,,STAR,BV,-62.81,0.42,5.1,0.31,3.63,0.52,8.298,0.019,6.849,0.01,,,,,,,,,,,,,,,,,,,,,,,,,55.725
228843299,12 23 15.365,-04 58 28.20,0,6.235,60418,4944-1338-1,426-056573,,,STAR,BV,28.84,0.37,-27.4,0.28,8.22,0.46,7.66,0.017,6.46,0.01,,,,,,,,,,,,,,,,,,,,,,,,,81.013
228841439,12 31 38.722,-05 03 09.33,0,5.983,61134,4954-1495-1,425-057013,,,STAR,BV,-32.44,0.27,30.14,0.2,8.06,0.34,7.241,0.016,6.172,0.01,,,,,,,,,,,,,,,,,,,,,,,,,91.491
228828451,12 26 47.725,-05 35 31.78,0,7.49,60727,4947-1348-1,423-057847,12264772-0535318,,STAR,BV,13.19,0.81,-15.34,0.66,9.06,0.85,7.963,0.017,7.533,0.012,,,,,,,,,,,6.736,0.023,6.586,0.055,6.463,0.02,,,,,,,,,94.019
201204634,12 20 39.265,-03 59 42.69,0,7.851,60194,4944-1071-1,431-056189,12203926-0359426,,STAR,BV,-106.84,0.69,-76.13,0.37,13.45,0.67,8.451,0.017,7.929,0.011,,,,,,,,,,,6.97,0.029,6.792,0.049,6.689,0.023,,,,,,,,,96.715
228947886,12 29 09.691,-02 25 46.42,0,6.559,60924,4941-737-1,438-056104,,,STAR,BV,-21.08,0.44,-4.17,0.31,1.4,0.5,8.436,0.018,6.878,0.01,,,,,,,,,,,,,,,,,,,,,,,,,100.632
228854308,12 20 16.867,-04 30 37.03,0,7.991,60167,4944-855-1,428-056110,,,STAR,gri,2.24,0.5,-4.54,0.3,4.7,0.51,8.273,0.017,7.151,0.011,,,9.603,0.03,8.529,0.01,7.3,0.16,,,,,,,,,,,,,,,,,106.277
228857471,12 38 43.330,-04 22 24.79,0,6.3,61685,4951-492-1,429-054797,,,STAR,BV,-47.47,0.39,-2.34,0.28,3.99,0.44,8.22,0.018,6.629,0.01,,,,,,,,,,,,,,,,,,,,,,,,,174.854
228822600,12 36 47.354,-05 49 54.84,0,5.96,61558,4954-1496-1,421-057188,12364735-0549547,,STAR,BV,-28.18,0.27,-20.22,0.21,14.49,0.33,5.932,0.014,5.866,0.009,,,,,,,,,,,5.782,0.024,5.768,0.046,5.703,0.017,,,,,,,,,180.605
229004696,12 34 23.184,-01 24 27.40,0,6.857,61358,4948-1226-1,443-056508,,,STAR,BV,-29.16,0.47,12.01,0.36,5.75,0.5,8.246,0.019,7.074,0.011,,,,,,,,,,,,,,,,,,,,,,,,,191.224
201127606,12 16 22.467,-05 50 44.63,0,7.092,59849,4946-748-1,421-056675,,,STAR,BV,24.32,0.5,-10.79,0.33,2.22,0.6,8.696,0.018,7.354,0.011,,,,,,,,,,,,,,,,,,,,,,,,,194.099
228816276,12 39 30.972,-06 06 02.04,0,6.402,61763,4954-1497-1,420-056571,,,STAR,BV,47.9,0.46,-4.25,0.34,3.49,0.51,8.109,0.018,6.686,0.01,,,,,,,,,,,,,,,,,,,,,,,,,223.149
201187310,12 12 14.242,-04 24 07.10,0,7.559,59506,4943-592-1,428-055909,12121424-0424070,,STAR,BV,11.75,0.68,-12.94,0.41,0.62,0.66,9.29,0.025,7.847,0.012,,,,,,,,,,,5.397,0.024,,,4.499,0.023,,,,,,,,,223.718
201419191,12 19 54.358,-00 40 00.51,0,3.979,60129,4940-1158-1,447-053472,,,STAR,BV,-57.58,0.47,-25.19,0.48,12.29,0.45,3.899,0.014,3.871,0.009,,,,,,,,,,,,,,,,,,,,,,,,,228.754
201411232,12 18 40.318,-00 47 13.87,0,5.959,60030,4940-1159-1,447-053445,12184031-0047138,,STAR,BV,33.84,0.24,-16.5,0.19,8.73,0.29,6.049,0.014,5.897,0.009,,,,,,,,,,,5.524,0.024,5.448,0.034,5.391,0.021,,,,,,,,,231.959
201283581,12 11 22.034,-02 41 56.80,0,6.544,59423,4943-177-1,437-054409,,,STAR,BV,16.63,0.39,-72.51,0.29,6.24,0.5,7.83,0.016,6.74,0.01,,,,,,,,,,,,,,,,,,,,,,,,,248.928
229002496,12 41 39.643,-01 26 57.74,0,3.422,61941,4949-1120-1,443-056701,,,STAR,BV,-614.76,0.88,61.34,0.47,85.58,0.6,3.802,0.014,3.44,0.009,,,,,,,,,,,,,,,,,,,,,,,,,267.209
228868958,12 45 17.350,-03 53 17.02,0,7.272,62234,4952-1082-1,431-056772,12451735-0353169,,STAR,BV,-38.94,1.98,14.24,1.57,3.81,2.53,7.558,0.016,7.264,0.011,,,,,,,,,,,6.658,0.021,6.595,0.042,6.473,0.015,,,,,,,,,272.065
228755509,12 27 55.491,-08 40 40.77,0,6.636,60816,5527-1965-1,407-054899,12275548-0840408,,STAR,BV,-225.04,0.48,-35.48,0.49,33.52,0.59,7.329,0.015,6.74,0.01,,,,,,,,,,,5.692,0.019,5.447,0.031,5.348,0.023,,,,,,,,,279.306
228847165,12 45 32.028,-04 48 39.40,0,6.915,62260,4952-628-1,426-057137,,,STAR,BV,-18.62,0.48,7.16,0.35,6.39,0.56,8.459,0.018,7.164,0.011,,,,,,,,,,,,,,,,,,,,,,,,,279.418
