MJD,BJD,FLUX2,CADENCENO,POS_CORR1,FLUX1,STARPOS,FLUX4,FLUX5,FLUX3,SAP_FLUX_ERR,BACKGROUND,TIME,SAP_QUALITY,POS_CORR2,SAP_FLUX,CAD
57216.95818472,57216.95845479651,191.72873814271605,111362,0.14736242592334747,109.8003900880399,855.075673890759,286.3455605246013,340.4451449492605,242.47278521334792,340.4451449492605,44.734739884086274,57216.95845479651,524288,0.10299984365701675,340.4451449492605,111362
57216.97861832,57216.97888640186,189.2816796905674,111363,0.1595335751771927,107.88357864255491,855.0818466512078,283.9017509791866,337.96467564689954,240.00627445912323,337.96467564689954,44.73604799353558,57216.97888640186,0,0.10109712183475494,337.96467564689954,111363
57216.99905202,57216.99931810718,192.715261842378,111364,0.17148445546627045,110.33920839558476,855.0769737557742,288.08348821477745,341.82071303429325,244.01667010377972,341.82071303429325,44.737037161122196,57216.99931810718,0,0.09875664114952087,341.82071303429325,111364
57217.01948552,57217.019749612475,189.98408324575203,111365,0.18147388100624084,108.17358310326287,855.0801505431706,285.65577583593426,339.49962100755135,241.43556600192673,339.49962100755135,44.73792913685674,57217.019749612475,8192,0.09615776687860489,339.49962100755135,111365
57217.03991912,57217.04018121772,188.62183369635616,111366,0.19280827045440674,107.55663558711177,855.079132938466,283.47519876864027,337.56560995807786,239.43538888173893,337.56560995807786,44.739140054453976,57217.04018121772,0,0.09747838973999023,337.56560995807786,111366
57217.06035282,57217.06061292293,187.16313728203235,111367,0.20116549730300903,106.08521275934967,855.0869581494052,282.2418764301864,335.96780253035894,238.23984821072298,335.96780253035894,44.74010003131369,57217.06061292293,8192,0.09700536727905273,335.96780253035894,111367
57217.08078632,57217.08104442812,186.77990172265186,111368,0.2087530940771103,105.65891706425211,855.0902951413702,283.59960001752097,338.2155243787822,238.71614275411494,338.2155243787822,44.742120825726055,57217.08104442812,0,0.09563115239143372,338.2155243787822,111368
57217.10121992,57217.10147603326,184.74580929374775,111369,0.21550652384757996,104.03188267998073,855.0859123625739,281.26827452639384,335.07289915293444,236.63599491453752,335.07289915293444,44.744256392769195,57217.10147603326,0,0.0969805046916008,335.07289915293444,111369
57217.12165362,57217.121907738365,184.32070486434068,111370,0.22144556045532227,103.32760684386542,855.081061562747,282.55520032867025,337.58531412875493,236.99967688594674,337.58531412875493,44.7465412305749,57217.121907738365,0,0.09758444130420685,337.58531412875493,111370
57217.14208712,57217.14233924345,184.86104183566883,111371,0.22902433574199677,104.13838838494343,855.0896669905445,282.58466785756593,337.6144009042667,237.24468706789605,337.6144009042667,44.74955384627633,57217.14233924345,0,0.0944242775440216,337.6144009042667,111371
57217.16252082,57217.16277094849,185.09099309402472,111372,0.23616690933704376,104.41272508579752,855.0989966394247,282.9826154901599,337.80425149744053,237.676706935917,337.80425149744053,44.752355658489726,57217.16277094849,0,0.09453290700912476,337.80425149744053,111372
57217.18295442,57217.1832025535,184.49793440923503,111373,0.24182014167308807,103.90119056079698,855.0919437968457,282.1686146110484,336.2264553585826,237.06151234566505,336.2264553585826,44.755217842433765,57217.1832025535,0,0.09465328603982925,336.2264553585826,111373
57217.20338792,57217.20363405849,183.43068002757312,111374,0.248081237077713,103.05881828847137,855.0940737762047,281.232868467977,335.10824690959663,236.0830224433597,335.10824690959663,44.7587135978367,57217.20363405849,0,0.09369601309299469,335.10824690959663,111374
57217.22382162,57217.22406576342,182.18410560084865,111375,0.2565018832683563,102.1951018312703,855.1022074157466,280.4552900101891,334.5714023943868,235.07650389613445,334.5714023943868,44.76220935323964,57217.22406576342,0,0.09216569364070892,334.5714023943868,111375
57217.24425522,57217.24449736834,181.88612233942465,111376,0.2688538134098053,101.86340635755789,855.1010453431002,280.435012914467,334.7271190648376,234.92903097098642,334.7271190648376,44.76579765651537,57217.24449736834,8192,0.09053950011730194,334.7271190648376,111376
57217.26468872,57217.26492887323,182.30952319478286,111377,0.27753186225891113,102.16957322410914,855.1031448560348,281.04405911519314,335.9044246499247,235.2903326848121,335.9044246499247,44.769410506538726,57217.26492887323,0,0.08927569538354874,335.9044246499247,111377
57217.28512242,57217.28536057806,178.19585857124693,111378,0.28694555163383484,98.90270821944526,855.1058065812582,277.593053431419,332.4826575732262,231.569456087359,332.4826575732262,44.7731525586999,57217.28536057806,0,0.0858510285615921,332.4826575732262,111378
57217.30555602,57217.30579218288,177.7531738997349,111379,0.29790598154067993,99.22083872297537,855.1128969193162,276.5822517601875,331.11792912674235,230.82556622424752,331.11792912674235,44.77689461086107,57217.30579218288,0,0.08414125442504883,331.11792912674235,111379
57217.32598952,57217.326223687676,174.44772351893207,111380,0.30844736099243164,97.38464695474374,855.1075211295655,271.40989057978953,326.4771468722062,226.2163914313883,326.4771468722062,44.780917126199476,57217.326223687676,0,0.08345108479261398,326.4771468722062,111380
57217.34642322,57217.346655392415,176.4279767757683,111381,0.31467586755752563,97.48060675289321,855.0897587746614,276.90809553978954,332.3415943519109,230.3448378718573,332.3415943519109,44.78475255551545,57217.346655392415,0,0.08270931243896484,332.3415943519109,111381
57217.36685682,57217.36708699714,178.14566512826175,111382,0.3193076550960541,98.95177159102067,855.1080205162153,279.2528477263002,334.6863187745119,232.42585625589288,334.6863187745119,44.78858798483144,57217.36708699714,0,0.08230920135974884,334.6863187745119,111382
57217.38729052,57217.38751870182,196.01420531014833,111383,0.07516399770975113,113.79234681958738,855.073470039345,285.3572966600403,336.98117937526035,244.01046654007035,336.98117937526035,44.792326222295344,57217.38751870182,1048576,0.0766933336853981,336.98117937526035,111383
57217.40772402,57217.40795020649,196.9857201714844,111384,0.07041991502046585,114.16287459497866,855.0721661775266,287.0241467363849,339.4194784566313,245.23597674592827,339.4194784566313,44.7968690291695,57217.40795020649,0,0.07559208571910858,339.4194784566313,111384
57217.42815762,57217.42838181113,196.00550597956763,111385,0.07396841794252396,113.18859712973884,855.073006558163,286.0492073458819,337.77090100600606,244.43066996231838,337.77090100600606,44.80141183604365,57217.42838181113,0,0.07544281333684921,337.77090100600606,111385
57217.44859132,57217.448813515715,196.6468914582731,111386,0.07920809090137482,113.14542846057725,855.0793146265585,286.98812018155775,339.6704258190142,245.0990885460884,339.6704258190142,44.80596857485564,57217.448813515715,0,0.07533197104930878,339.6704258190142,111386
57217.46902482,57217.4692450203,196.7091829484767,111387,0.08037951588630676,113.21458340727764,855.0797443870945,286.8087250249248,338.8893041468959,245.09922512987401,338.8893041468959,44.81084425553031,57217.4692450203,0,0.0747203379869461,338.8893041468959,111387
57217.48945842,57217.48967662484,196.96121688537266,111388,0.08180389553308487,113.53034637285316,855.0794844072665,286.77193492909447,338.6265455113033,245.24536091872798,338.6265455113033,44.81571993620499,57217.48967662484,0,0.07476235181093216,338.6265455113033,111388
57217.50989212,57217.51010832934,197.2137604047999,111389,0.08625851571559906,113.69696834812993,855.0765050366268,287.79631952655865,340.13152974675586,245.84580653419377,340.13152974675586,44.82120082689368,57217.51010832934,0,0.07335580885410309,340.13152974675586,111389
57217.53032572,57217.530539933825,195.36187740270856,111390,0.08987857401371002,112.78605055809021,855.0822121918129,285.5134036314363,337.89677695577825,243.74877410511846,337.89677695577825,44.82561111450195,57217.530539933825,0,0.0722142904996872,337.89677695577825,111390
57217.55075922,57217.55097143829,193.87904442775647,111391,0.09692320972681046,111.53466401929441,855.0755713080149,283.9433564224037,335.46737217565715,242.3533710901204,335.46737217565715,44.8292410477348,57217.55097143829,0,0.06964460760354996,335.46737217565715,111391
57217.57119292,57217.571403142705,194.13407236114867,111392,0.103399358689785,111.54668300048164,855.0739195486669,284.7183166856529,337.496910228519,242.66417237693346,337.496910228519,44.83368036021357,57217.571403142705,8192,0.06919997930526733,337.496910228519,111392
57217.59162652,57217.59183474711,192.4415065152646,111393,0.11135333776473999,110.09530931970346,855.0842999885176,283.15085966248813,335.0778965505744,241.22513520517853,335.0778965505744,44.838553387185804,57217.59183474711,0,0.06852297484874725,335.0778965505744,111393
