EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V),Ang Sep (')
212561026,13 44 15.557,-11 26 12.49,0,7.492,67034,5549-1155-1,393-057773,13441555-1126123,,STAR,BV,25.790,0.890,-6.240,0.490,4.520,0.670,9.042,0.019,7.743,0.011,,,,,,,,,,,5.706,0.026,5.211,0.033,4.963,0.020,,,,,,,,,71.084
212556484,13 34 17.849,-11 32 14.53,0,7.076,66216,5548-1547-1,393-057461,13341783-1132144,,STAR,BV,-68.480,0.630,-56.780,0.290,16.490,0.540,7.572,0.015,7.126,0.011,,,,,,,,,,,6.277,0.024,6.124,0.031,5.989,0.024,,,,,,,,,77.284
212497693,13 40 59.696,-12 46 58.60,0,7.972,66758,5552-1153-1,387-060996,13405970-1246586,,STAR,gri,-4.690,0.700,-15.360,0.370,6.180,0.810,8.418,0.017,7.254,0.010,,,9.571,0.030,8.542,0.010,7.287,0.080,,,5.265,0.021,4.709,0.021,4.535,0.017,,,,,,,,,92.051
212516478,13 45 37.156,-12 23 02.84,0,7.745,67144,5549-111-1,389-058785,13453715-1223029,,STAR,BV,-27.760,1.520,23.910,0.950,3.560,1.020,9.202,0.028,7.976,0.016,,,,,,,,,,,6.005,0.021,5.502,0.046,5.292,0.016,,,,,,,,,111.549
212514429,13 45 56.320,-12 25 35.49,0,5.401,67172,5549-1342-1,388-062039,,,STAR,BV,-19.750,1.170,8.740,0.820,8.020,0.950,6.496,0.015,5.557,0.010,,,,,,,,,,,,,,,,,,,,,,,,,116.836
212618733,13 32 58.074,-10 09 54.01,0,5.051,66098,5548-1546-1,400-055702,,,STAR,BV,-31.910,0.340,-38.930,0.180,13.870,0.300,6.189,0.015,5.215,0.009,,,,,,,,,,,,,,,,,,,,,,,,,117.278
212638538,13 47 13.403,-09 42 34.03,0,5.765,67271,5546-951-1,402-055496,,,STAR,BV,-3.180,0.790,-42.630,0.370,5.360,0.830,7.472,0.016,6.049,0.010,,,,,,,,,,,,,,,,,,,,,,,,,148.873
212681727,13 41 36.775,-08 42 10.74,0,4.702,66803,5546-1582-1,407-057023,,,STAR,BV,-91.800,0.270,40.220,0.150,6.400,0.270,6.630,0.016,5.032,0.009,,,,,,,,,,,,,,,,,,,,,,,,,158.760
212637064,13 28 28.469,-09 44 36.77,0,7.999,65735,5545-682-1,402-054923,13282847-0944367,,STAR,BV,-9.870,0.660,20.530,0.450,2.660,0.660,9.362,0.025,8.211,0.013,,,,,,,,,,,6.192,0.023,5.535,0.038,5.388,0.024,,,,,,,,,186.859
212482610,13 50 20.874,-13 06 36.90,0,7.167,67541,5559-476-1,385-063777,,,STAR,BV,-19.740,0.720,-5.130,0.520,1.750,0.820,9.140,0.029,7.506,0.013,,,,,,,,,,,,,,,,,,,,,,,,,193.225
212501232,13 26 43.169,-12 42 27.59,0,4.955,65581,5550-1597-1,387-060475,,,STAR,BV,-129.310,0.330,-20.830,0.160,7.410,0.280,6.762,0.015,5.260,0.009,,,,,,,,,,,,,,,,,,,,,,,,,205.236
212486969,13 51 35.142,-13 00 54.34,0,6.857,67646,5559-197-1,385-063844,13513517-1300543,,STAR,BV,-116.420,0.590,2.730,0.410,6.110,0.660,8.028,0.018,7.029,0.011,,,,,,,,,,,5.267,0.034,,,4.625,0.024,,,,,,,,,205.569
212455736,13 51 05.874,-13 40 45.18,0,7.103,67600,5559-1341-1,382-064180,13510588-1340450,,STAR,BV,-37.690,0.710,-23.510,0.450,10.350,0.680,7.544,0.016,7.137,0.012,,,,,,,,,,,6.291,0.018,6.095,0.038,6.065,0.023,,,,,,,,,222.490
212406435,13 45 08.716,-14 46 01.09,0,7.911,67097,5552-522-1,377-065689,,,STAR,gri,-22.430,0.740,-3.920,0.480,1.380,0.660,9.274,0.027,7.676,0.013,,,9.707,0.110,8.607,0.050,7.141,0.060,,,,,,,,,,,,,,,,,224.249
212524104,13 55 31.520,-12 13 23.02,0,7.774,67999,5556-1559-1,389-059147,13553151-1213228,,STAR,BV,-8.700,0.910,-5.540,0.810,3.480,0.980,9.041,0.025,7.966,0.015,,,,,,,,,,,6.184,0.024,5.687,0.033,5.571,0.021,,,,,,,,,242.393
212380757,13 32 51.643,-15 21 46.85,0,5.295,66091,6121-959-1,374-065589,,,STAR,BV,-76.310,0.320,-0.490,0.170,6.340,0.300,6.760,0.015,5.528,0.009,,,,,,,,,,,,,,,,,,,,,,,,,262.371
212546567,13 21 35.310,-11 44 49.37,0,7.471,65191,5547-715-1,392-056496,13213530-1144493,,STAR,BV,-61.800,0.730,-11.850,0.500,4.100,0.700,9.127,0.023,7.744,0.012,,,,,,,,,,,5.487,0.026,,,4.613,0.020,,,,,,,,,264.064
212726497,13 50 32.523,-07 35 55.01,0,7.002,67553,5553-22-1,413-059051,,,STAR,BV,-9.520,1.540,-42.820,1.190,0.580,1.230,8.747,0.022,7.294,0.012,,,,,,,,,,,,,,,,,,,,,,,,,275.816
212410461,13 52 15.447,-14 40 35.56,0,7.296,67708,5559-629-1,377-065943,13521545-1440355,,STAR,BV,2.260,0.580,0.900,0.410,4.620,0.520,7.719,0.016,7.326,0.011,,,,,,,,,,,6.580,0.023,6.426,0.046,6.356,0.024,,,,,,,,,275.921
212626055,13 21 12.235,-09 59 56.79,0,6.994,65163,5544-885-1,401-055350,13211223-0959568,,STAR,BV,-122.530,0.580,45.270,0.370,9.900,0.700,8.109,0.017,7.213,0.011,,,,,,,,,,,5.627,0.024,5.241,0.067,5.012,0.018,,,,,,,,,280.133
212567178,13 20 19.984,-11 18 14.87,0,6.551,65074,5547-178-1,394-053936,,,STAR,BV,-113.520,0.570,-5.340,0.360,6.660,0.600,7.739,0.016,6.726,0.010,,,,,,,,,,,,,,,,,,,,,,,,,281.342
212531689,13 58 26.840,-12 03 33.43,0,7.981,68263,5557-1626-1,390-059988,13582682-1203333,,STAR,gri,133.800,0.710,-150.880,0.590,11.910,0.880,8.043,0.018,7.037,0.012,,,9.632,0.030,8.426,0.040,7.274,0.020,,,5.305,0.023,4.815,0.026,4.694,0.021,,,,,,,,,282.649
212364254,13 45 35.068,-15 46 02.88,0,6.282,67139,6123-582-1,372-065209,13453507-1546027,,STAR,BV,-42.830,0.400,-23.950,0.260,9.430,0.350,6.220,0.015,6.179,0.010,,,,,,,,,,,6.050,0.019,6.066,0.034,6.024,0.017,,,,,,,,,282.792
212755081,13 48 17.985,-06 50 14.57,0,6.413,67355,4973-1498-1,416-058262,,,STAR,BV,-39.640,0.410,-19.390,0.260,6.840,0.400,7.519,0.015,6.571,0.010,,,,,,,,,,,,,,,,,,,,,,,,,297.792
212759827,13 47 25.364,-06 42 19.50,0,7.010,67289,4973-1497-1,417-057196,13472537-0642195,,STAR,BV,-67.290,0.540,-12.540,0.290,9.090,0.490,7.238,0.015,6.986,0.010,,,,,,,,,,,6.446,0.024,6.355,0.038,6.284,0.020,,,,,,,,,299.586
212511738,13 19 37.159,-12 29 00.92,0,7.899,65014,5547-1411-1,388-061169,13193716-1229007,,STAR,gri,-21.910,0.690,3.980,0.360,1.600,0.640,9.390,0.026,7.902,0.013,,,9.671,0.030,8.649,0.040,7.140,0.060,,,5.373,0.021,4.271,0.160,4.428,0.033,,,,,,,,,299.818
212708093,13 54 58.444,-08 03 32.39,0,7.125,,,410-057804,,,STAR,BV,-166.200,2.500,-50.000,2.500,,,7.926,0.040,7.258,0.030,,,,,,,,,,,,,,,,,,,,,,,,,300.523
212348179,13 44 29.828,-16 10 44.66,0,5.390,67057,6123-583-1,370-065805,,,STAR,BV,12.760,0.360,-5.410,0.270,3.960,0.280,6.350,0.015,5.567,0.009,,,,,,,,,,,,,,,,,,,,,,,,,302.068
212768151,13 30 25.723,-06 28 12.96,0,6.096,65892,4972-1457-1,418-057757,13302572-0628130,,STAR,BV,44.540,0.390,11.760,0.220,18.790,0.390,6.419,0.015,6.098,0.010,,,,,,,,,,,5.514,0.037,5.386,0.033,5.286,0.029,,,,,,,,,318.931
212775557,13 31 57.883,-06 15 20.94,0,4.375,66006,4972-1456-1,419-057015,,,STAR,BV,-103.940,0.180,-43.870,0.100,8.160,0.190,6.296,0.015,4.703,0.009,,,,,,,,,,,,,,,,,,,,,,,,,322.129
212435240,13 58 29.843,-14 07 19.42,0,7.855,68267,5560-675-1,380-066379,13582984-1407194,,STAR,gri,6.870,0.870,-0.350,0.550,7.030,0.710,7.815,0.016,6.854,0.010,,,9.425,0.030,8.479,0.040,7.183,0.060,,,5.100,0.026,4.654,0.033,4.506,0.017,,,,,,,,,326.101
212601902,13 17 27.327,-10 32 46.64,0,6.881,64834,5547-1517-1,398-055293,13172732-1032467,,STAR,BV,-83.440,0.470,15.940,0.290,12.340,0.500,7.227,0.015,6.890,0.010,,,,,,,,,,,6.208,0.018,6.086,0.033,6.034,0.021,,,,,,,,,327.187
212465738,14 00 07.522,-13 28 00.36,0,7.471,68400,5560-636-1,383-065930,14000752-1328004,,STAR,BV,-45.450,0.960,11.820,0.640,5.950,0.860,8.782,0.017,7.672,0.011,,,,,,,,,,,5.737,0.019,5.226,0.021,5.083,0.018,,,,,,,,,329.587
212754989,13 24 48.256,-06 50 25.20,0,7.900,65447,4965-1027-1,416-057529,13244827-0650251,,STAR,gri,-6.930,0.810,0.730,0.530,1.590,0.740,9.447,0.028,7.967,0.013,,,9.729,0.030,8.461,0.040,7.117,0.060,,,5.374,0.020,,,4.390,0.020,,,,,,,,,344.315
