EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V),Ang Sep (')
201629434,11 33 36.346,+02 29 56.51,0,6.139,56388,271-514-1,463-048828,,,STAR,BV,22.210,0.560,-17.190,0.410,2.660,0.460,8.115,0.018,6.479,0.010,,,,,,,,,,,,,,,,,,,,,,,,,72.484
201527798,11 40 24.081,+00 57 07.79,0,6.939,56941,272-589-1,455-051877,11402407+0057077,,STAR,BV,3.000,1.000,-5.550,0.760,10.780,0.920,7.093,0.016,6.895,0.011,,,,,,,,,,,6.444,0.020,6.387,0.042,6.318,0.017,,,,,,,,,75.013
201665097,11 34 21.949,+03 03 36.59,0,5.699,56445,274-1078-1,466-046558,,,STAR,BV,-183.040,0.370,-102.930,0.320,36.730,0.360,6.218,0.015,5.755,0.010,,,,,,,,,,,,,,,,,,,,,,,,,100.758
201544370,11 28 47.055,+01 12 13.77,0,7.663,56015,264-304-1,457-048979,11284705+0112138,,STAR,BV,-38.210,0.930,0.370,1.030,3.200,0.730,8.920,0.022,7.852,0.014,,,,,,,,,,,6.117,0.021,5.617,0.044,5.481,0.018,,,,,,,,,105.367
201679640,11 36 14.611,+03 18 04.02,0,7.031,56598,274-1048-1,467-045549,11361462+0318038,,STAR,BV,-32.980,0.690,-39.810,0.480,3.430,0.600,8.137,0.018,7.189,0.011,,,,,,,,,,,5.531,0.039,5.066,0.051,4.878,0.026,,,,,,,,,113.263
201620604,11 42 25.542,+02 21 43.60,0,6.892,57107,272-406-1,462-048189,11422554+0221435,,STAR,BV,-55.760,0.570,-33.270,0.530,11.570,0.610,7.402,0.016,6.946,0.011,,,,,,,,,,,6.061,0.023,5.878,0.051,5.773,0.027,,,,,,,,,114.910
201665231,11 31 23.359,+03 03 45.73,0,7.488,56209,274-203-1,466-046492,11312337+0303457,,STAR,BV,19.940,1.030,7.390,0.670,10.890,0.860,7.797,0.016,7.487,0.012,,,,,,,,,,,6.794,0.018,6.697,0.033,6.639,0.027,,,,,,,,,118.468
201683447,11 33 19.739,+03 21 44.99,0,7.071,56371,274-880-1,467-045480,11331974+0321447,,STAR,BV,-17.830,0.790,-5.140,0.700,2.940,0.770,8.447,0.021,7.286,0.012,,,,,,,,,,,5.335,0.017,,,4.597,0.017,,,,,,,,,122.259
201550910,11 27 33.476,+01 18 05.39,0,7.243,55906,264-139-1,457-048954,11273346+0118055,,STAR,BV,-40.470,0.830,0.610,0.580,2.870,0.690,8.403,0.018,7.413,0.012,,,,,,,,,,,5.752,0.023,5.298,0.023,5.125,0.021,,,,,,,,,123.169
201408876,11 36 56.931,-00 49 25.50,0,4.135,56647,4930-1093-1,446-053728,,,STAR,BV,1.760,0.220,43.370,0.160,17.970,0.220,5.297,0.014,4.304,0.009,,,,,,,,,,,,,,,,,,,,,,,,,135.643
201650979,11 27 56.175,+02 49 53.52,0,7.397,,267-1194-1,465-046948,11275617+0249535,,STAR,BV,-89.600,1.500,16.800,1.400,,,7.798,0.016,7.421,0.012,,,,,,,,,,,6.671,0.023,6.590,0.049,6.479,0.024,,,,,,,,,144.733
201418695,11 40 55.897,-00 40 27.59,0,7.899,56988,4931-740-1,447-052534,,,STAR,gri,13.810,0.570,-20.650,0.440,4.700,0.750,8.482,0.020,7.183,0.012,,,9.391,0.030,8.459,0.040,7.260,0.260,,,,,,,,,,,,,,,,,147.547
201661854,11 26 46.277,+03 00 22.76,0,7.198,55848,267-1200-1,466-046386,11264627+0300229,,STAR,BV,-730.810,1.590,188.970,1.600,55.690,1.460,8.435,0.020,7.383,0.013,,,,,,,,,,,5.852,0.018,5.403,0.031,5.256,0.017,,,,,,,,,165.030
