MJD,BJD,FLUX2,CADENCENO,POS_CORR1,FLUX1,STARPOS,FLUX4,FLUX5,FLUX3,SAP_FLUX_ERR,BACKGROUND,TIME,SAP_QUALITY,POS_CORR2,SAP_FLUX
57139.10618842,57139.106270585784,6007.00580618582,107552,-0.030712855979800224,5624.147655813735,893.2133633194721,6355.563761935648,6389.123006450589,6276.164250511058,6372.143391896359,26.929012298583984,57139.106270585784,524288,0.07681027054786682,6372.143391896359
57139.12662212,57139.12670227045,6011.733133510394,107553,-0.03648749738931656,5632.928597939162,893.2127172034254,6354.508118262487,6386.031906414357,6277.886123715821,6370.593760963233,26.930965423583984,57139.12670227045,0,0.07684917747974396,6370.593760963233
57139.14705562,57139.147133755134,6012.174998068014,107554,-0.039017874747514725,5634.662055374041,893.2111775100095,6354.2303686665155,6386.108092554599,6277.483014825459,6370.448015654003,26.932880401611328,57139.147133755134,0,0.07684925943613052,6370.448015654003
57139.16748922,57139.167565339805,6016.754429642271,107555,-0.0437576025724411,5642.154489089804,893.2062351337133,6358.571475891076,6390.695949659168,6281.473588495333,6374.461756890898,26.93475914001465,57139.167565339805,0,0.07623686641454697,6374.461756890898
57139.18792292,57139.18799702445,6016.541550714757,107556,-0.045752085745334625,5643.048395323638,893.206046212385,6355.854075315743,6387.247298703962,6279.712836856188,6371.535217368907,26.936601638793945,57139.18799702445,0,0.07517554610967636,6371.535217368907
57139.20835642,57139.208428509104,6017.402156305836,107557,-0.04813167825341225,5645.824049876213,893.2030148452418,6355.667718702227,6387.384831424659,6279.480097317908,6371.760584158988,26.93840789794922,57139.208428509104,0,0.07306738942861557,6371.760584158988
57139.22879012,57139.22886019375,6018.86417449203,107558,-0.04948200285434723,5649.043331766283,893.202522671697,6354.804446073409,6386.004939841659,6279.4117742168855,6370.50594514904,26.940181732177734,57139.22886019375,0,0.072441965341568,6370.50594514904
57139.24922362,57139.24929167839,6019.738182469295,107559,-0.05055636540055275,5650.571087359249,893.2037786533225,6354.8772209746985,6386.548832474777,6279.492717280769,6370.695986337065,26.94192123413086,57139.24929167839,0,0.0697454884648323,6370.695986337065
57139.26965722,57139.26972326302,6020.633522237834,107560,-0.04987291991710663,5650.300942189324,893.2019220694265,6357.055445076963,6388.6435959619685,6281.250831823034,6373.251152015649,26.943628311157227,57139.26972326302,0,0.06836628168821335,6373.251152015649
57139.290090919996,57139.29015494763,6018.420563417545,107561,-0.04942059516906738,5648.06450386544,893.2032347067768,6352.5929366526525,6383.186579001949,6278.087876310483,6368.130653208799,26.945302963256836,57139.29015494763,0,0.06828217953443527,6368.130653208799
57139.31052442,57139.310586432264,6020.934327250725,107562,-0.05257364735007286,5652.371549445797,893.1983882518214,6355.762008720918,6387.183766465297,6280.303349737162,6371.741336290187,26.94694709777832,57139.310586432264,0,0.06784090399742126,6371.741336290187
57139.33095802,57139.33101801688,6022.178949325549,107563,-0.05270405486226082,5653.748711355465,893.1993123579141,6354.64522614612,6385.51149207045,6280.282377653271,6370.3493867188945,26.94856071472168,57139.33101801688,0,0.06735463440418243,6370.3493867188945
57139.35139172,57139.351449701484,6021.839352159532,107564,-0.05362381413578987,5653.879973801153,893.1998481667976,6353.885602273775,6384.655523767391,6279.690493394373,6369.498075929903,26.950145721435547,57139.351449701484,0,0.06577111780643463,6369.498075929903
57139.37182522,57139.37188118609,6026.3723699271495,107565,-0.056792061775922775,5660.868846315085,893.1973878028765,6357.097725525458,6387.968740585284,6282.9230817980615,6372.645671610847,26.95170021057129,57139.37188118609,0,0.06525614112615585,6372.645671610847
57139.39225882,57139.39231277069,6027.636648553672,107566,-0.06123305484652519,5664.498780326436,893.1923268573142,6357.241024687479,6388.0898250204755,6283.190792786547,6372.971484039332,26.953227996826172,57139.39231277069,0,0.06526674330234528,6372.971484039332
57139.412692519996,57139.41274445527,6030.185089099889,107567,-0.06560434401035309,5669.752994067671,893.1886393780658,6358.089954326022,6388.67250348872,6284.499690910792,6373.840640511507,26.954729080200195,57139.41274445527,0,0.06423376500606537,6373.840640511507
57139.43312612,57139.43317603986,6034.268306760054,107568,-0.07048377394676208,5676.297007693418,893.1854036665068,6361.380398464831,6392.638817163532,6287.417691518294,6377.202234255639,26.95620346069336,57139.43317603986,0,0.06225104257464409,6377.202234255639
57139.45355972,57139.453607624455,6035.559887018725,107569,-0.07301821559667587,5679.576951702626,893.1840098838991,6360.513972559281,6391.807071892509,6286.919967204776,6376.458818421275,26.957651138305664,57139.453607624455,0,0.06323756277561188,6376.458818421275
57139.47399332,57139.47403920904,6033.7012107594055,107570,-0.07338058948516846,5677.978339318426,893.1863591020598,6356.747961907487,6387.108573416463,6284.213406485074,6372.341102001152,26.959075927734375,57139.47403920904,0,0.06305087357759476,6372.341102001152
57139.49442692,57139.49447079361,6033.465047649401,107571,-0.07496792078018188,5677.9787389446,893.1837972250034,6356.056031432031,6385.963273988238,6283.944291390718,6371.347348360136,26.960474014282227,57139.49447079361,0,0.06305254250764847,6371.347348360136
57139.51486052,57139.51490237819,6033.015311621757,107572,-0.07419250160455704,5676.597996183151,893.1840438102101,6357.400585785605,6388.002501834812,6284.3895583301755,6373.031547471162,26.961849212646484,57139.51490237819,0,0.06281572580337524,6373.031547471162
57139.535294119996,57139.535333962755,6032.573267590489,107573,-0.07384956628084183,5676.169241564001,893.1853342493763,6355.782105894859,6386.407720056906,6283.206571112476,6371.546492583137,26.96320343017578,57139.535333962755,0,0.06203131377696991,6371.546492583137
57139.55572772,57139.55576554733,6032.506196434282,107574,-0.07609496265649796,5677.325712682305,893.1833136459051,6354.584810411227,6384.509517035651,6282.618841348007,6369.757893310326,26.96453285217285,57139.55576554733,0,0.06177126616239548,6369.757893310326
57139.57616142,57139.57619723189,6036.641070883043,107575,-0.08219696581363678,5685.535255848579,893.179457664978,6356.576744837648,6387.827321312543,6284.355135457432,6372.103960346794,26.965843200683594,57139.57619723189,0,0.05952215567231178,6372.103960346794
57139.59659492,57139.59662871646,6041.092748294252,107576,-0.09128668904304504,5695.667124421838,893.1713578620688,6357.669598776161,6387.826901266697,6286.175565103707,6372.814305914435,26.967130661010742,57139.59662871646,0,0.06050972267985344,6372.814305914435
57139.61702852,57139.617060301025,6045.907840179369,107577,-0.098081573843956,5704.242073289133,893.1664619017228,6360.017395900852,6389.965695137986,6289.25427699184,6375.12947713421,26.968399047851562,57139.617060301025,0,0.05995558574795723,6375.12947713421
57139.63746222,57139.63749198558,6047.327585677245,107578,-0.10004153847694397,5706.640437985103,893.1685994209802,6360.1137157033045,6390.169910619265,6289.589045896853,6375.107410770279,26.969646453857422,57139.63749198558,0,0.058974917978048325,6375.107410770279
57139.657895719996,57139.65792347014,6045.812623129548,107579,-0.10484764724969864,5708.4748924830365,893.1619293494601,6356.549359619102,6386.064262077927,6286.404811439463,6371.641575466172,26.970876693725586,57139.65792347014,0,0.05903374403715134,6371.641575466172
57139.67832942,57139.67835515469,6046.330108318936,107580,-0.11038985848426819,5712.295634249353,893.1578820010164,6355.200528339137,6385.320604651495,6285.227699525329,6370.467694997504,26.972087860107422,57139.67835515469,0,0.061198893934488297,6370.467694997504
57139.69876302,57139.69878673925,6048.911595428139,107581,-0.11689718067646027,5718.422832725955,893.1529201976457,6355.83233525419,6385.66337129755,6286.173400751967,6370.983690582357,26.973281860351562,57139.69878673925,0,0.06285054236650467,6370.983690582357
57139.71919652,57139.71921822382,6053.781018305324,107582,-0.12740176916122437,5730.407810924953,893.1458832535671,6356.949595663407,6387.026713413945,6287.597322998859,6372.063561260662,26.974458694458008,57139.71921822382,0,0.06319063901901245,6372.063561260662
57139.73963022,57139.73964990836,6058.907154349973,107583,-0.1374208629131317,5741.14695395092,893.1377163444782,6358.954844015012,6388.842026055052,6290.074403370254,6374.127649581253,26.97562026977539,57139.73964990836,0,0.06335065513849258,6374.127649581253
57139.76006382,57139.76008149292,6067.623012689914,107584,-0.150525763630867,5756.469536691788,893.1301869880473,6363.361559038909,6392.992391321635,6295.084960635215,6378.5312445763875,26.976764678955078,57139.76008149292,0,0.06396836042404175,6378.5312445763875
57139.780497319996,57139.78051297748,6072.816703750246,107585,-0.1591656506061554,5768.145759300543,893.1238286407499,6363.962072754457,6393.421274197131,6296.638209673163,6378.9145902635,26.977893829345703,57139.78051297748,0,0.0643693059682846,6378.9145902635
