EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V),Ang Sep (')
212009636,08 46 21.350,+20 24 50.48,0,7.486,,1399-303-1,553-044834,08462134+2024505,,STAR,BV,-13.200,1.100,15.600,1.000,,,8.017,0.016,7.545,0.011,,,,,,,,,,,6.523,0.020,6.303,0.021,6.243,0.023,,,,,,,,,229.941
211576294,08 28 37.338,+14 12 38.96,0,5.996,41578,808-1546-1,522-046010,08283734+1412388,,STAR,BV,-15.460,0.370,-12.530,0.200,9.500,0.300,6.136,0.014,5.948,0.010,,,,,,,,,,,5.476,0.029,5.482,0.044,5.376,0.016,,,,,,,,,234.102
211939824,08 53 20.614,+19 19 19.80,0,7.290,43642,1397-40-1,547-046188,,,STAR,BV,-21.730,0.770,-13.110,0.520,2.900,0.700,9.263,0.029,7.629,0.013,,,,,,,,,,,,,,,,,,,,,,,,,234.994
211508325,08 33 45.046,+13 15 26.32,0,6.022,42010,809-1564-1,517-047483,,,STAR,BV,-30.810,0.570,-47.600,0.390,9.520,0.550,7.447,0.016,6.247,0.010,,,,,,,,,,,,,,,,,,,,,,,,,236.366
211787912,08 57 08.281,+17 08 37.50,0,5.969,43957,1394-2120-1,536-048913,,,STAR,BV,-38.610,0.460,-33.610,0.300,9.340,0.460,7.170,0.016,6.146,0.010,,,,,,,,,,,,,,,,,,,,,,,,,237.553
212021783,08 46 20.245,+20 36 59.53,0,7.214,43061,1399-1818-1,554-043512,08462024+2036595,,STAR,BV,-17.040,0.840,-31.210,0.600,9.150,0.730,7.190,0.015,7.121,0.010,,,,,,,,,,,6.906,0.020,6.944,0.027,6.918,0.026,,,,,,,,,241.239
211727051,08 57 18.574,+16 16 56.97,0,7.992,43975,1394-691-1,532-047393,08571857+1616570,,STAR,BV,-0.110,1.030,-8.900,0.650,2.330,0.900,8.729,0.021,8.108,0.015,,,,,,,,,,,7.022,0.018,6.741,0.020,6.718,0.017,,,,,,,,,242.043
212011256,08 32 42.496,+20 26 28.19,0,5.086,41909,1398-3161-1,553-044173,,,STAR,BV,-46.330,0.430,-44.310,0.240,10.930,0.400,6.581,0.015,5.325,0.009,,,,,,,,,,,,,,,,,,,,,,,,,244.192
211723555,08 57 34.909,+16 14 01.11,0,7.712,44000,1394-1163-1,532-047412,08573488+1614013,,STAR,BV,66.440,1.170,-56.820,0.670,3.650,0.870,8.936,0.023,7.894,0.014,,,,,,,,,,,6.110,0.019,5.614,0.016,5.499,0.023,,,,,,,,,246.361
211468434,08 43 12.330,+12 40 51.15,0,5.598,42795,816-2818-1,514-048185,,,STAR,BV,-8.720,0.390,1.230,0.230,3.520,0.340,6.027,0.014,5.629,0.009,,,,,,,,,,,,,,,,,,,,,,,,,251.709
