EPIC,RA,Dec,KepMag
202968013,241.7414690,-27.7192880,7.095
202543441,246.8736650,-29.2882710,7.096
203454361,247.1580350,-26.0844260,7.100
202912230,248.7824640,-27.9152430,7.108
204089684,245.3299640,-23.7079860,7.115
203280959,251.4519300,-26.6494170,7.122
203667522,253.2552830,-25.3537420,7.124
202972093,246.0093840,-27.7048780,7.126
204798972,254.1906490,-20.8107300,7.126
205267959,251.0199880,-18.5412180,7.126
203279489,247.8829770,-26.6544810,7.134
204100339,254.0261930,-23.6658070,7.134
204269402,251.9915170,-22.9989510,7.134
205634674,247.0669050,-16.2121810,7.143
202889344,252.5847970,-27.9968010,7.147
205180361,243.5454170,-19.0010720,7.153
203718564,252.7342950,-25.1772590,7.155
202635918,241.1273510,-28.9310480,7.158
202871826,239.8939470,-28.0592620,7.161
202387800,249.8183540,-29.9242380,7.167
204614210,252.9770210,-21.6098230,7.168
204284738,243.5183260,-22.9403860,7.180
203731864,254.2919610,-25.1306650,7.182
205369869,247.1896830,-17.9849880,7.195
204116043,253.9524250,-23.6022760,7.203
204879276,241.4186330,-20.4500590,7.208
203755471,242.9430250,-25.0463690,7.209
202537168,243.8293320,-29.3130030,7.213
203828405,244.2332500,-24.7795980,7.221
205087132,251.7847170,-19.4677740,7.224
203441857,253.8781820,-26.1264550,7.230
205076122,246.3127640,-19.5225640,7.231
205345287,249.3230080,-18.1234060,7.234
202990029,239.3069580,-27.6425590,7.249
203619958,253.2040550,-25.5194860,7.256
202518456,250.9156880,-29.3874840,7.257
202380430,246.6751890,-29.9549690,7.268
202722116,250.4504940,-28.6064560,7.281
202670623,250.6991090,-28.8000640,7.288
203815747,252.6147070,-24.8268390,7.299
205325260,243.0102250,-18.2326240,7.302
204865430,254.1047200,-20.5122420,7.316
204257074,250.7646280,-23.0476050,7.337
204487580,250.0579600,-22.1391320,7.340
205177309,249.2027450,-19.0166060,7.341
203335033,246.4272070,-26.4804390,7.350
202311231,243.1147880,-30.2838470,7.351
204928675,250.8942970,-20.2228220,7.351
203238251,247.4296550,-26.7908930,7.353
205206375,249.0625790,-18.8658960,7.354
202754037,249.2780620,-28.4885070,7.362
203727027,247.4966550,-25.1477880,7.363
202934519,250.1696120,-27.8374650,7.374
202801798,246.9871660,-28.3127410,7.390
204203520,237.6660490,-23.2581920,7.407
204466598,237.3713180,-22.2230090,7.409
204642608,237.4857390,-21.4907380,7.413
204650238,249.6160640,-21.4581760,7.413
203010694,248.4079540,-27.5698420,7.421
205160637,250.2886320,-19.1011120,7.424
203686943,238.4233880,-25.2867390,7.427
204175154,253.7382510,-23.3690270,7.427
205371477,253.4871990,-17.9764730,7.433
204662644,251.9374800,-21.4051950,7.434
203769244,252.5103480,-24.9970610,7.437
205349283,243.3619590,-18.1010260,7.448
204795183,249.7497310,-20.8279610,7.449
203496548,246.5221700,-25.9433940,7.452
203123999,247.6456970,-27.1764540,7.457
203890347,250.1769610,-24.5339050,7.457
204134123,253.5553680,-23.5304180,7.463
204191393,254.0789420,-23.3051480,7.465
204085663,245.2955720,-23.7246720,7.485
203232418,240.9739520,-26.8101770,7.487
204906549,245.6365890,-20.3248880,7.487
203468047,248.3172410,-26.0385020,7.499
202325595,243.4624920,-30.2121850,7.505
204441119,249.1143590,-22.3240640,7.505
203544783,238.8014460,-25.7787010,7.507
203323192,245.8997500,-26.5169160,7.509
203429393,250.0682270,-26.1679380,7.510
204056585,253.9862610,-23.8425570,7.513
204840080,252.7825980,-20.6274960,7.513
204244734,250.1029110,-23.0964100,7.519
204010032,252.0649810,-24.0251850,7.523
204267529,249.4506550,-23.0060300,7.523
205737900,244.3372330,-15.3279960,7.524
203213172,252.9656620,-26.8738340,7.525
203392023,251.0721990,-26.2954790,7.525
203089501,248.1997080,-27.2952800,7.527
203448085,248.0539230,-26.1054160,7.528
205815906,248.4628760,-14.4666220,7.533
202807003,244.7851440,-28.2938830,7.536
202890345,248.0707960,-27.9931470,7.536
204710485,247.3280040,-21.1985810,7.538
204913903,249.9257780,-20.2915990,7.538
202389277,246.4525730,-29.9184000,7.540
204993043,251.0899140,-19.9196760,7.552
205506739,252.6259790,-17.1350850,7.554
203252703,252.5446160,-26.7425460,7.556
202820669,243.7163990,-28.2437720,7.571
204218009,246.3593430,-23.2021010,7.576
203218196,247.0162620,-26.8572820,7.585
204147008,253.6635530,-23.4797970,7.586
202460422,243.2833100,-29.6227130,7.588
203975884,240.7390850,-24.1736120,7.592
203071941,246.1688940,-27.3555690,7.597
203161446,240.2675690,-27.0478330,7.604
203068662,251.4928310,-27.3671270,7.606
203246432,248.1263280,-26.7635600,7.607
203450015,248.8903940,-26.0990450,7.607
204199280,244.6177380,-23.2743040,7.610
204363899,237.7716990,-22.6266390,7.613
204175896,255.0471130,-23.3660890,7.619
204233095,254.5336320,-23.1428890,7.622
204961195,249.1915980,-20.0700210,7.624
203980711,250.2769560,-24.1528130,7.631
203456136,253.4797600,-26.0783950,7.637
204390207,251.0735930,-22.5235790,7.647
203461966,249.5136620,-26.0587000,7.648
204892332,251.0302570,-20.3904690,7.648
204011894,253.9600910,-24.0171900,7.649
204335976,250.9153810,-22.7364810,7.649
203089432,252.3584840,-27.2955060,7.654
205072569,254.2666020,-19.5398770,7.659
202894057,252.7730940,-27.9799180,7.660
203197567,247.6167520,-26.9260040,7.662
204216256,252.3096470,-23.2089250,7.667
204621192,251.6837990,-21.5806240,7.668
205072424,254.2655110,-19.5406380,7.676
203425443,241.7763910,-26.1813350,7.682
204582156,250.6636950,-21.7448470,7.682
202939508,249.8164460,-27.8194570,7.683
203384096,250.0553000,-26.3221890,7.690
203461395,250.0241160,-26.0606670,7.691
202659946,251.3930430,-28.8406540,7.692
204492283,252.7880850,-22.1199460,7.692
203383516,249.4625960,-26.3242000,7.694
204811347,246.7686410,-20.7556690,7.701
203009836,247.9351950,-27.5729660,7.713
204601171,249.9875310,-21.6649770,7.723
202809112,249.0122520,-28.2859970,7.727
203675376,250.7936640,-25.3265700,7.734
204463536,246.2228920,-22.2353000,7.738
203143380,248.6908850,-27.1102820,7.739
205343955,252.6392600,-18.1305670,7.739
205042349,250.6774800,-19.6843910,7.741
203422995,238.5199060,-26.1894480,7.742
205513237,239.4907170,-17.0899960,7.743
202515253,246.4130780,-29.4004430,7.746
203228831,248.2618190,-26.8222800,7.749
205135936,248.9763260,-19.2257000,7.751
202854718,248.2942400,-28.1203420,7.755
204890937,252.1457190,-20.3968260,7.756
203199259,250.2033680,-26.9202450,7.758
203099575,248.0711640,-27.2610070,7.759
203864591,249.0628940,-24.6380130,7.764
205257213,247.8148200,-18.5988850,7.767
204591616,251.4049670,-21.7053520,7.772
202494542,247.6749930,-29.4830670,7.780
203648381,252.7940550,-25.4202960,7.787
204843575,250.1902750,-20.6115840,7.790
204730583,251.2962860,-21.1108110,7.792
205801805,249.0947190,-14.6414810,7.792
204758065,251.4187600,-20.9925860,7.815
205118540,246.9513680,-19.3126250,7.818
205112470,249.3611700,-19.3425780,7.822
204297659,248.9450050,-22.8895220,7.824
204824472,250.9070740,-20.6967090,7.828
203648981,251.4818560,-25.4182370,7.829
202641733,251.6812580,-28.9093090,7.839
204553954,241.7143110,-21.8638350,7.839
204365110,250.3769380,-22.6216330,7.840
203331065,239.5486900,-26.4926520,7.841
203728784,249.5120220,-25.1413990,7.847
203411949,249.3561740,-26.2271610,7.848
205346470,242.8160180,-18.1165870,7.850
202857900,248.3354900,-28.1087960,7.852
204196588,246.8486560,-23.2848110,7.853
205189478,249.8305860,-18.9531690,7.854
205184022,250.3694520,-18.9818060,7.859
205318481,240.8245100,-18.2691810,7.870
204926134,247.2823050,-20.2346380,7.873
203170721,253.0745620,-27.0161610,7.878
202915813,249.3304310,-27.9028220,7.880
204288623,250.9127870,-22.9252020,7.884
203993815,245.7160470,-24.0963140,7.888
205364414,251.6152160,-18.0152010,7.888
203043178,248.1322490,-27.4563500,7.900
202590326,247.6020200,-29.1045190,7.906
203752159,253.1129900,-25.0585290,7.909
202482623,248.8542740,-29.5309230,7.914
204608812,251.7979780,-21.6327140,7.914
203043239,251.2077010,-27.4561130,7.915
204204027,254.7624990,-23.2562190,7.916
205077877,247.7800660,-19.5140700,7.920
204800762,249.4890700,-20.8028400,7.925
203435250,244.5608680,-26.1485520,7.934
203605333,246.0196440,-25.5702760,7.936
203943993,250.1350330,-24.3110930,7.938
203233194,238.8707090,-26.8074830,7.941
204001123,253.6698650,-24.0640990,7.941
203646328,252.6810380,-25.4275150,7.942
204422554,251.2428310,-22.3970110,7.944
202331836,245.9638600,-30.1813560,7.946
205369058,252.7600080,-17.9894860,7.948
205054899,251.4261200,-19.6238810,7.950
202737178,248.9735320,-28.5508330,7.954
205534870,241.7694730,-16.9432630,7.956
204796231,249.7301110,-20.8232900,7.957
204041510,246.3838710,-23.9006540,7.959
202749273,248.6286040,-28.5062020,7.960
205474795,251.5630260,-17.3466370,7.962
203135499,248.1120240,-27.1371080,7.963
202856076,248.3068020,-28.1153450,7.966
203120196,248.1048530,-27.1899180,7.966
204429477,249.8647320,-22.3698520,7.975
202869601,248.8523600,-28.0670540,7.992
203408629,247.9814580,-26.2385390,7.994
203495002,251.4634040,-25.9489450,7.996
204888647,244.2867500,-20.4073010,7.997
203623075,241.8100700,-25.5084410,7.998
203967600,253.5419060,-24.2092410,7.999
204175222,253.1345210,-23.3687820,7.999
