EPIC,RA,Dec,KepMag,HIP,TYC,UCAC,2MASS,Ch,Col,Row,Bmag,Vmag,Jmag,Hmag,Kmag,Teff,logg,[Fe/H],Radius,mass,Distance,E(B-V)
216223443,286.7449951,-22.7368889,7.55,,,337-182011,19065878-2244128,41,459,240,,,7.55,6.668,6.294,2690,-0.533,0.221,320.98,1.227,5203,0.19
219145070,284.4811707,-17.4274464,7.551,,,363-171025,18575548-1725388,51,243,246,,,7.551,6.445,5.992,,,,,,,
213964174,283.2818298,-27.7564774,7.554,,6868-1153-1,312-234076,18530763-2745231,73,1065,725,7.9,7.563,6.839,6.758,6.694,,,,,,,
217565513,286.4599609,-20.3520699,7.559,,,,19055038-2021074,47,962,718,,,7.559,6.359,5.612,,,,,,,
216171628,280.7000732,-22.8316517,7.574,,,336-172111,18424802-2249537,83,896,791,,,7.574,6.556,6.1,,,,,,,
216634019,279.9918518,-21.9980145,7.575,,,341-165561,18395803-2159528,84,430,456,,,7.575,6.626,6.284,,,,,,,
215035179,281.1112061,-25.0813847,7.578,,,325-187372,18442670-2504529,80,794,512,,,7.578,6.608,6.039,,,,,,,
218260364,282.4365845,-19.1231289,7.579,,,,18494478-1907232,70,657,1024,,,7.579,6.613,6.131,,,,,,,
216095111,283.6233521,-22.9708767,7.58,,,336-179301,18542961-2258153,67,20,488,,,7.58,6.687,6.28,,,,,,,
218669620,284.7539978,-18.3773613,7.589,,,359-177646,18590095-1822386,50,181,1030,,,7.589,6.554,6.106,,,,,,,
217227258,283.2501831,-20.9466438,7.593,,,346-166384,18530004-2056480,68,368,775,,,7.593,6.692,6.221,,,,,,,
218571255,293.174469,-18.5607471,7.596,,,358-193900,19324187-1833388,12,948,467,,,7.596,6.666,6.296,,,,,,,
217160628,284.3299866,-21.0649967,7.608,,,345-175497,18571919-2103540,65,757,560,,,7.608,6.736,6.259,,,,,,,
214687620,282.5965881,-25.8814678,7.608,,,321-205079,18502318-2552533,78,369,719,,,7.608,6.674,6.346,3448,0.235,0.046,118.361,1.171,3394,0.21
218138314,292.0137024,-19.3428211,7.611,95711,6306-2756-1,354-176626,19280328-1920340,9,667,509,9.023,7.833,5.803,5.243,5.097,,,,,,,
218778919,286.2207031,-18.1708374,7.615,,,360-187911,19045296-1810150,49,789,785,,,7.615,6.648,6.204,,,,,,,
216839295,281.8359985,-21.6326485,7.615,,,342-166046,18472064-2137575,81,578,131,,,7.615,6.625,6.159,,,,,,,
218638595,284.9570923,-18.4358292,7.618,,6286-108-1,358-180317,,50,328,922,9.664,7.973,,,,,,,,,,
219239624,285.1785278,-17.2162762,7.618,,6286-298-1,364-158820,,51,875,265,9.892,8.021,,,,,,,,,,
218708328,281.3576355,-18.3046227,7.618,,,359-166332,18452585-1818162,71,13,144,,,7.618,6.658,6.13,,,,,,,
218617005,282.9638672,-18.4759369,7.62,,,358-174403,18515132-1828335,72,945,719,,,7.62,6.686,6.298,,,,,,,
217245862,282.3573914,-20.9136028,7.622,,,346-164197,18492577-2054487,68,100,66,,,7.622,6.626,6.189,,,,,,,
215705313,288.1634827,-23.6964054,7.627,,,,19123923-2341470,43,956,701,,,7.627,5.957,4.862,,,,,,,
215973458,281.4603271,-23.194973,7.634,,,335-186840,18455048-2311420,82,397,867,,,7.634,6.648,6.184,,,,,,,
217307837,284.367981,-20.8039169,7.635,,,346-169020,18572832-2048141,65,544,454,,,7.635,6.711,6.375,,,,,,,
216066955,279.838562,-23.0227165,7.635,,,335-181113,18392125-2301217,83,948,53,,,7.635,6.664,6.219,,,,,,,
218505852,283.3088379,-18.6799583,7.636,,,357-167304,18531411-1840479,72,721,989,,,7.636,6.725,6.292,,,,,,,
