MJD,BJD,FLUX2,CADENCENO,POS_CORR1,FLUX1,STARPOS,FLUX4,FLUX5,FLUX3,SAP_FLUX_ERR,BACKGROUND,TIME,SAP_QUALITY,POS_CORR2,SAP_FLUX,CAD
57299.75512312,57299.7550384845,8255.94567978263,115414,nan,6937.965681952911,747.1751428168025,8634.128931377625,8678.941885606675,8515.57911730387,8678.941885606675,134.44194362474525,57299.7550384845,557056,nan,8678.941885606675,115414
57299.77555682,57299.77547015651,8308.521772692739,115415,nan,7094.738085852672,747.1274697212915,8648.003216849702,8684.100150354787,8542.985500980334,8684.100150354787,134.4424292522928,57299.77547015651,40960,nan,8684.100150354787,115415
57299.79599032,57299.79590162855,8081.22660361778,115416,nan,6357.396248568659,747.1063104550386,8607.050428830747,8674.917414533065,8451.169053710377,8674.917414533065,134.4428140391474,57299.79590162855,32768,nan,8674.917414533065,115416
57299.81642402,57299.81633330057,8116.716138443571,115417,nan,6480.100771572279,747.0771841935311,8613.022349229599,8673.635470257874,8467.012690322936,8673.635470257874,134.44319683572522,57299.81633330057,32768,nan,8673.635470257874,115417
57299.83685752,57299.83676477262,8183.810364445958,115418,nan,6707.705051463583,747.0254869628365,8628.309796458085,8678.071003788245,8498.909955388452,8678.071003788245,134.44329767641813,57299.83676477262,32768,nan,8678.071003788245,115418
57299.85729112,57299.85719634467,8220.62595076698,115419,nan,6841.0852360103445,746.9905221561316,8635.671162398217,8680.25667420309,8515.309529715345,8680.25667420309,134.44339851711106,57299.85719634467,32768,nan,8680.25667420309,115419
57299.87772482,57299.87762801671,8285.832806625529,115420,nan,7081.450758602308,746.9258712523459,8650.477007307149,8685.899774060405,8545.234985523644,8685.899774060405,134.44186932107678,57299.87762801671,32768,nan,8685.899774060405,115420
57299.89815842,57299.89805958878,nan,115421,nan,nan,746.8604901454685,nan,nan,nan,nan,134.44093123726222,57299.89805958878,32768,nan,nan,115421
57299.91859192,57299.91849106085,nan,115422,nan,nan,746.8545300465244,nan,nan,nan,nan,134.4399931534477,57299.91849106085,32768,nan,nan,115422
57299.93902562,57299.93892273292,8020.02892290798,115423,nan,6534.274506226015,747.2319407608819,8465.718576765603,8523.846860092366,8324.186876686967,8523.846860092366,134.43905506963316,57299.93892273292,1081344,nan,8523.846860092366,115423
