EPIC,RA,Dec,KepMag,HIP,TYC,UCAC,2MASS,Ch,Col,Row,Bmag,Vmag,Jmag,Hmag,Kmag,Teff,logg,[Fe/H],Radius,mass,Distance,E(B-V)
213949912,287.0426331,-27.7970448,6.79,,,312-239786,19081022-2747494,59,504,115,,,6.79,5.847,5.369,,,,,,,
218854516,289.1309814,-18.0265923,6.796,,,360-193276,19163143-1801357,29,970,45,,,6.796,5.964,5.525,,,,,,,
218249696,282.3973083,-19.1423378,6.808,92384,6289-1671-1,355-165410,18493536-1908324,70,619,1019,6.953,6.762,6.443,6.405,6.346,,,,,,,
216336259,280.2572632,-22.5308361,6.831,,,338-170831,18410174-2231509,84,957,529,,,6.831,5.845,5.508,,,,,,,
218113922,292.9274292,-19.3864746,6.838,96044,6306-311-1,354-177625,,12,333,946,8.765,7.167,,,,,,,,,,
215202403,280.4624634,-24.7173214,6.842,,,327-166920,18415098-2443023,80,321,100,,,6.842,5.663,5.015,,,,,,,
215578117,287.5371704,-23.9350605,6.864,,,331-192438,19100893-2356062,44,707,678,,,6.864,5.938,5.552,,,,,,,
214718078,288.4955139,-25.808075,6.864,,,321-213920,19135892-2548290,37,858,758,,,6.864,6.004,5.462,2538,-0.799,0.312,494.147,1.43,6497,0.516
218492607,282.7830505,-18.7041206,6.872,,,357-165522,18510793-1842149,71,1068,877,,,6.872,5.873,5.453,,,,,,,
216387346,280.516571,-22.4391975,6.875,,,338-171720,18420396-2226208,84,943,761,,,6.875,5.88,5.469,,,,,,,
218570097,291.2796631,-18.5627956,6.887,95458,6301-2370-1,358-191794,19250712-1833461,10,670,180,7.69,7.021,5.563,5.206,5.052,,,,,,,
214663559,282.6644287,-25.9393978,6.904,,,321-205216,18503946-2556219,78,302,682,,,6.904,5.927,5.501,,,,,,,
214777922,289.0473022,-25.6667652,6.921,94699,6879-760-1,322-204257,19161135-2540003,38,899,796,8.292,7.134,5.209,,4.549,,,,,,,
216633386,280.6454773,-21.9991684,6.946,,,341-167642,18423491-2159569,84,598,980,,,6.946,6.02,5.535,,,,,,,
218504327,287.2378235,-18.6827126,6.95,94062,6287-1535-1,357-176417,19085707-1840577,49,125,55,7.311,6.963,6.259,6.106,6.021,,,,,,,
213188017,287.949585,-30.3772545,6.959,,,299-231379,19114789-3022379,55,636,260,,,6.959,5.979,5.379,,,,,,,
216489096,280.609375,-22.2567158,6.97,,,,18422625-2215241,84,810,883,,,6.97,5.803,5.02,,,,,,,
214700715,282.4086914,-25.8501434,6.978,,,321-204733,18493809-2551004,78,443,855,,,6.978,5.957,5.562,,,,,,,
217226832,286.2659607,-20.9473915,6.987,,6295-567-1,346-173006,,46,626,995,8.936,7.322,,,,,,,,,,
213410372,290.5160828,-29.5230808,6.989,95203,6887-845-1,303-263729,19220385-2931231,35,1054,274,7.666,7.088,5.998,5.735,5.659,6212,4.089,-0.084,1.603,1.218,50.97,0
214179067,282.8600159,-27.1642284,6.99,92535,6868-1010-1,315-220845,18512638-2709514,73,449,879,8.418,7.215,5.076,,4.343,,,,,,,
213873758,293.1680603,-28.0198078,6.99,96124,6897-2051-1,310-253067,19324033-2801108,16,1052,742,7.815,7.13,5.917,5.588,5.495,5748,4.461,-0.028,0.977,1.009,27.23,0
213387881,290.414032,-29.6054649,6.996,95164,6887-1631-1,302-261026,19213936-2936195,36,1068,234,7.669,7.095,6.045,5.818,5.744,6351,4.248,-0.049,1.366,1.228,45.62,0
214303428,287.0337524,-26.8346558,6.999,93982,6882-1945-1,316-224883,19080809-2650046,59,212,938,8.148,7.165,5.457,5.018,4.849,,,,,,,
