EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V),Ang Sep (')
210715639,03 55 05.645,+18 35 25.76,0,7.724,18326,1253-614-1,543-008005,03550564+1835258,,STAR,BV,10.120,0.750,-11.090,0.600,4.510,0.700,8.510,0.017,7.853,0.012,,,,,,,,,,,6.228,0.018,5.849,0.034,5.713,0.020,,,,,,,,,17.700
210717967,03 54 20.665,+18 37 28.11,0,7.784,,1253-960-1,544-007862,,,STAR,BV,0.300,1.100,-14.000,1.100,,,9.955,0.043,8.165,0.015,,,,,,,,,,,,,,,,,,,,,,,,,27.931
210625672,03 53 10.046,+17 19 37.50,0,5.943,18170,1253-716-1,537-007324,03531002+1719373,,STAR,BV,143.760,0.450,-29.750,0.390,24.200,0.370,6.296,0.014,5.953,0.009,,,,,,,,,,,5.254,0.026,5.161,0.042,5.091,0.018,,,,,,,,,91.670
210576276,03 54 28.033,+16 36 57.79,0,6.664,18267,1249-1065-1,534-007360,03542799+1636582,,STAR,BV,217.600,0.780,-165.280,0.520,48.950,0.700,7.556,0.016,6.822,0.010,,,,,,,,,,,5.384,0.024,5.102,0.026,4.995,0.017,,,,,,,,,125.449
210638989,04 04 39.590,+17 31 03.36,0,6.448,19036,1254-637-1,538-008017,,,STAR,BV,-44.270,0.620,8.460,0.430,9.910,0.440,7.769,0.016,6.651,0.011,,,,,,,,,,,,,,,,,,,,,,,,,137.472
210626587,04 07 59.416,+17 20 23.63,0,5.602,19284,1254-867-1,537-007874,,,STAR,BV,8.040,0.660,-10.240,0.480,8.120,0.690,7.453,0.017,5.916,0.010,,,,,,,,,,,,,,,,,,,,,,,,,184.587
210923834,03 55 55.190,+21 46 05.16,0,7.748,,1261-699-1,559-008151,03555518+2146050,,STAR,BV,-2.100,1.000,-2.000,0.900,,,8.922,0.019,7.920,0.012,,,,,,,,,,,6.001,0.023,5.544,0.031,5.419,0.021,,,,,,,,,186.529
210782877,04 09 09.967,+19 36 33.17,0,5.312,19388,1259-984-1,549-008773,,,STAR,BV,107.120,0.450,-32.320,0.300,11.490,0.380,6.581,0.015,5.504,0.009,,,,,,,,,,,,,,,,,,,,,,,,,190.952
210704233,04 10 42.364,+18 25 23.71,0,7.864,19504,1255-312-1,543-008732,04104233+1825236,,STAR,gri,123.320,0.540,-31.390,0.350,22.620,0.520,7.008,0.015,6.588,0.010,,,9.537,0.040,8.396,0.240,7.148,0.330,,,5.795,0.020,5.625,0.020,5.572,0.021,,,,,,,,,205.313
210570578,04 07 54.668,+16 31 50.20,0,7.687,19281,1250-272-1,533-008005,04075466+1631500,,STAR,BV,-2.730,0.910,-14.040,0.700,6.160,0.840,7.692,0.016,7.602,0.012,,,,,,,,,,,7.307,0.018,7.348,0.024,7.284,0.023,,,,,,,,,209.458
210869958,03 44 28.204,+20 55 43.45,0,6.183,17453,1260-1427-1,555-007713,03442819+2055435,,STAR,BV,26.660,0.470,-13.910,0.440,12.870,0.400,6.100,0.015,6.074,0.010,,,,,,,,,,,5.995,0.018,6.053,0.023,6.031,0.023,,,,,,,,,215.427
210856050,03 43 36.984,+20 42 58.81,0,7.936,,1247-1067-1,554-007277,03433699+2042587,,STAR,BV,-16.800,1.000,-35.000,1.000,,,9.149,0.023,8.116,0.015,,,,,,,,,,,6.171,0.018,5.700,0.016,5.538,0.020,,,,,,,,,217.520
210953721,03 49 55.073,+22 14 38.96,0,6.198,17921,1260-1491-1,562-008065,03495506+2214390,,STAR,BV,24.310,0.480,-44.460,0.390,8.860,0.420,6.046,0.014,6.070,0.010,,,,,,,,,,,5.968,0.019,6.051,0.061,5.976,0.021,,,,,,,,,232.985
210943602,04 04 41.715,+22 04 54.92,0,4.155,19038,1262-1645-1,561-008888,,,STAR,BV,90.530,0.240,-59.470,0.190,17.430,0.210,5.413,0.014,4.344,0.009,,,,,,,,,,,,,,,,,,,,,,,,,236.767
210935801,04 06 34.101,+21 57 23.45,0,7.548,19163,1262-532-1,560-008826,,,STAR,BV,7.320,1.190,2.370,0.830,2.290,0.940,9.597,0.035,7.904,0.015,,,,,,,,,,,,,,,,,,,,,,,,,244.847
210622118,04 12 31.355,+17 16 38.84,0,5.898,19641,1255-873-1,537-008039,,,STAR,BV,49.810,1.070,-21.000,0.860,9.520,1.020,7.155,0.017,6.087,0.011,,,,,,,,,,,,,,,,,,,,,,,,,245.836
210532790,04 10 55.167,+15 56 47.99,0,7.232,19519,1251-673-1,530-008081,04105516+1556480,,STAR,BV,-9.390,0.710,-14.050,0.680,5.640,0.590,7.321,0.015,7.170,0.011,,,,,,,,,,,6.745,0.021,6.741,0.027,6.697,0.020,,,,,,,,,265.172
210485427,04 07 41.983,+15 09 46.03,0,6.041,19261,1250-74-1,526-007755,,,STAR,BV,127.760,0.740,-23.850,0.590,22.920,0.720,6.448,0.015,6.066,0.011,,,,,,,,,,,,,,,,,,,,,,,,,266.048
211012647,03 57 03.807,+23 10 31.97,0,6.148,18485,1813-817-1,566-008639,03570379+2310321,,STAR,BV,8.330,0.580,-17.830,0.520,4.790,0.520,6.059,0.014,6.038,0.009,,,,,,,,,,,5.822,0.024,5.852,0.027,5.809,0.016,,,,,,,,,271.107
210570971,03 39 25.754,+16 32 12.08,0,6.002,17058,1235-821-1,533-006752,,,STAR,BV,43.720,0.660,-31.450,0.490,7.680,0.590,7.151,0.015,6.168,0.010,,,,,,,,,,,,,,,,,,,,,,,,,272.836
210512907,04 11 10.499,+15 37 34.45,0,7.788,19548,1251-508-1,529-007864,04111050+1537343,,STAR,BV,-0.680,1.040,-9.090,0.950,5.130,0.860,7.911,0.017,7.735,0.013,,,,,,,,,,,7.274,0.026,7.274,0.046,7.226,0.020,,,,,,,,,280.299
210422722,03 59 19.707,+13 58 30.16,0,6.554,18634,665-1004-1,520-007039,,,STAR,BV,-9.500,0.540,-59.940,0.450,5.980,0.500,7.973,0.016,6.777,0.010,,,,,,,,,,,,,,,,,,,,,,,,,284.482
210736519,03 35 18.372,+18 54 11.09,0,7.995,16737,1242-921-1,545-007235,,,STAR,gri,5.830,1.080,-40.860,0.860,2.360,0.820,9.263,0.026,7.565,0.012,,,9.886,0.070,8.510,0.030,7.185,0.030,,,,,,,,,,,,,,,,,298.534
210846673,04 17 15.661,+20 34 42.93,0,4.937,19990,1272-1126-1,553-009305,,,STAR,BV,-39.410,0.410,-60.790,0.350,34.550,0.380,5.170,0.014,4.914,0.009,,,,,,,,,,,,,,,,,,,,,,,,,317.658
211007766,04 08 53.456,+23 05 49.70,0,7.669,,,566-009350,04085345+2305497,,STAR,BV,17.300,2.500,-25.900,2.500,,,7.970,0.040,7.665,0.030,,,,,,,,,,,6.890,0.061,6.787,0.053,6.776,0.033,,,,,,,,,319.306
211007855,04 08 53.502,+23 05 54.93,0,7.631,19363,1814-464-1,566-009351,04085350+2305548,,STAR,BV,10.140,1.190,-21.920,1.060,9.550,0.890,7.886,0.017,7.614,0.013,,,9.704,0.030,,,,,,,6.780,0.027,6.716,0.047,6.720,0.044,,,,,,,,,319.385
210661904,03 34 08.379,+17 49 58.20,0,5.942,16641,1238-1180-1,540-006998,,,STAR,BV,95.310,0.460,-308.870,0.370,24.760,0.460,7.054,0.015,6.160,0.010,,,,,,,,,,,,,,,,,,,,,,,,,319.610
211040014,03 47 36.961,+23 36 32.86,0,7.544,,1800-2192-1,569-008362,03473695+2336329,,STAR,BV,56.400,1.000,-57.000,1.000,,,9.016,0.028,7.779,0.015,,,,,,,,,,,5.569,0.030,5.024,0.027,4.879,0.024,,,,,,,,,320.808
210549901,04 16 48.690,+16 12 51.78,0,6.383,19960,1264-191-1,532-007962,,,STAR,BV,-22.030,0.770,-25.940,0.570,7.240,0.750,7.675,0.018,6.580,0.011,,,,,,,,,,,,,,,,,,,,,,,,,328.102
210484644,03 38 26.373,+15 08 58.69,0,7.169,16985,1235-85-1,526-006564,03382636+1508586,,STAR,BV,1.840,0.740,-57.200,0.700,6.910,0.740,8.539,0.020,7.382,0.013,,,,,,,,,,,5.176,0.021,,,4.479,0.016,,,,,,,,,331.781
211045721,04 06 46.393,+23 42 07.91,0,7.879,,,569-009625,04064638+2342079,,STAR,J,-0.900,4.300,-2.000,3.500,,,,,,,,,,,,,,,,,7.879,0.026,6.972,0.020,6.644,0.024,,,,,,,,,336.046
211067718,03 49 09.743,+24 03 12.30,0,3.763,17847,1800-2203-1,571-008801,,,STAR,BV,17.700,0.360,-44.180,0.320,8.530,0.390,3.534,0.014,3.614,0.009,,,,,,,,,,,,,,,,,,,,,,,,,338.585
211058916,03 47 24.418,+23 54 52.87,0,7.385,,1800-1567-1,570-008478,03472440+2354529,,STAR,BV,23.000,1.100,-42.300,1.100,,,7.321,0.016,7.281,0.012,,,,,,,,,,,7.143,0.020,7.159,0.021,7.137,0.018,,,,,,,,,338.860
210401783,03 46 26.254,+13 30 32.77,0,6.991,17617,664-624-1,518-006602,03462623+1330326,,STAR,BV,24.490,0.660,-26.260,0.600,5.810,0.510,6.942,0.015,6.891,0.010,,,,,,,,,,,6.610,0.020,6.672,0.029,,,,,,,,,,,340.204
211072686,03 49 11.216,+24 08 12.16,0,5.192,17851,1800-2200-1,571-008806,,,STAR,BV,18.070,0.300,-47.200,0.270,8.540,0.310,4.957,0.014,5.041,0.009,,,,,,,,,,,,,,,,,,,,,,,,,343.256
210382168,03 51 15.870,+13 02 45.88,0,6.436,18033,664-811-1,516-006642,03511586+1302460,,STAR,BV,20.950,0.390,-22.450,0.280,8.120,0.350,6.225,0.014,6.292,0.010,,,,,,,,,,,6.317,0.030,6.355,0.036,6.391,0.023,,,,,,,,,344.620
211070830,04 04 21.673,+24 06 21.57,0,5.326,19009,1814-1647-1,571-009845,,,STAR,BV,-0.540,0.390,-14.080,0.330,2.880,0.430,6.319,0.015,5.512,0.009,,,,,,,,,,,,,,,,,,,,,,,,,345.545
210403041,04 07 18.765,+13 32 17.92,0,7.852,19229,678-235-1,518-007393,04071875+1332178,,STAR,BV,-24.740,1.220,-7.590,1.000,8.450,1.350,8.198,0.018,7.861,0.015,,,,,,,,,,,7.131,0.023,7.036,0.042,6.959,0.017,,,,,,,,,345.843
211061086,03 46 19.574,+23 56 54.08,0,4.305,17608,1800-2204-1,570-008403,,,STAR,BV,21.130,0.350,-43.650,0.270,8.580,0.370,4.098,0.014,4.162,0.009,,,,,,,,,,,,,,,,,,,,,,,,,346.525
211093623,03 57 26.383,+24 27 42.98,0,5.892,18508,1817-176-1,573-009544,,,STAR,BV,-3.670,1.330,-6.400,1.100,3.130,0.970,7.548,0.016,6.165,0.010,,,,,,,,,,,,,,,,,,,,,,,,,348.442
211079817,03 49 25.984,+24 14 51.75,0,7.991,,1800-901-1,572-008878,03492598+2414516,,STAR,BV,21.200,1.000,-44.000,0.900,,,8.123,0.017,7.941,0.013,,,,,,,,,,,7.587,0.023,7.548,0.031,7.515,0.026,,,,,,,,,348.665
211070770,03 47 29.076,+24 06 18.49,0,2.986,17702,1800-2202-1,571-008709,,,STAR,BV,19.340,0.390,-43.670,0.330,8.090,0.420,2.783,0.014,2.844,0.009,,,,,,,,,,,,,,,,,,,,,,,,,349.101
211071441,03 47 21.037,+24 06 58.57,0,6.381,,1800-2201-1,571-008701,03472103+2406586,,STAR,BV,19.300,0.800,-44.300,0.800,,,6.292,0.015,6.271,0.010,,,,,,,,,,,6.228,0.019,6.248,0.029,6.257,0.021,,,,,,,,,350.388
211086366,03 49 56.596,+24 20 56.38,0,7.623,,1800-985-1,572-008914,03495660+2420566,,STAR,BV,19.700,0.900,-44.300,0.900,,,7.587,0.015,7.527,0.012,,,,,,,,,,,7.346,0.020,7.367,0.016,7.350,0.017,,,,,,,,,352.645
210912133,04 18 23.201,+21 34 45.46,0,5.637,20087,1276-1622-1,558-009478,,,STAR,BV,94.870,0.480,-34.890,0.400,18.500,0.500,5.912,0.014,5.626,0.009,,,,,,,,,,,,,,,,,,,,,,,,,356.890
210669602,03 31 21.122,+17 56 17.44,0,6.453,16414,1238-670-1,540-006861,,,STAR,BV,-14.110,0.620,0.260,0.450,3.750,0.470,8.311,0.018,6.769,0.010,,,,,,,,,,,,,,,,,,,,,,,,,357.960
210660430,03 31 24.457,+17 48 40.78,0,7.937,16416,1238-290-1,540-006864,03312445+1748407,,STAR,BV,15.210,1.450,-16.560,1.000,2.640,0.970,9.428,0.025,8.176,0.013,,,,,,,,,,,5.915,0.020,5.329,0.018,5.152,0.016,,,,,,,,,358.305
210883911,04 19 26.097,+21 08 32.31,0,5.627,20171,1276-1623-1,556-009150,04192609+2108323,,STAR,BV,29.690,0.370,-41.990,0.310,12.080,0.360,5.413,0.014,5.482,0.009,,,,,,,,,,,5.572,0.026,5.609,0.017,5.611,0.016,,,,,,,,,358.576
