EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V),Ang Sep (')
220171394,00 53 00.495,-01 08 39.33,0,6.506,4147,4674-1183-1,445-001077,,,STAR,gri,6.990,0.220,-15.660,0.140,5.560,0.220,6.317,0.015,4.752,0.009,,,8.225,0.030,6.996,0.040,5.769,0.070,,,,,,,,,,,,,,,,,426.571
220676688,01 23 19.094,+10 50 33.61,0,7.641,6484,617-1239-1,505-002141,01231908+1050335,,STAR,BV,-41.930,0.630,-51.540,0.370,5.550,0.760,7.952,0.016,7.640,0.011,,,,,,,,,,,6.982,0.026,6.881,0.055,6.774,0.016,,,,,,,,,428.072
220156371,00 58 27.951,-01 39 49.58,0,7.555,,4674-1053-1,442-001248,00582796-0139496,,STAR,BV,88.200,1.200,-120.200,1.100,,,8.664,0.018,7.773,0.012,,,,,,,,,,,6.076,0.020,5.604,0.023,5.480,0.020,,,,,,,,,428.184
220187406,00 48 20.216,-00 29 21.03,0,7.359,3763,4673-415-1,448-001002,,,STAR,BV,6.160,0.610,-28.150,0.420,0.830,0.540,9.029,0.018,7.635,0.011,,,,,,,,,,,,,,,,,,,,,,,,,429.022
220188420,01 22 34.831,-00 26 58.82,0,7.919,6429,4682-600-1,448-001664,,,STAR,gri,24.470,0.390,-11.580,0.280,7.280,0.470,7.576,0.015,6.503,0.010,,,9.573,0.030,8.353,0.030,7.210,0.060,,,,,,,,,,,,,,,,,429.033
220230231,00 42 06.721,+01 03 48.42,0,7.624,3302,11-1174-1,456-000907,00420671+0103483,,STAR,BV,-17.500,0.800,-36.220,0.500,2.510,0.770,8.791,0.019,7.858,0.013,,,,,,,,,,,6.237,0.024,5.764,0.047,5.600,0.018,,,,,,,,,429.613
220318665,01 32 44.480,+03 01 56.48,0,7.724,7196,31-97-1,466-001997,01324447+0301564,,STAR,BV,2.570,1.100,-24.160,0.550,3.720,0.870,9.004,0.024,7.918,0.014,,,,,,,,,,,6.122,0.019,5.610,0.029,5.438,0.017,,,,,,,,,431.030
220727179,01 12 19.151,+12 16 54.56,0,6.815,5631,616-665-1,512-001820,01121916+1216547,,STAR,BV,-85.360,0.550,-51.380,0.440,29.240,0.480,7.365,0.016,6.879,0.011,,,,,,,,,,,5.880,0.020,5.694,0.016,5.658,0.018,,,,,,,,,433.632
220659230,01 25 58.237,+10 24 25.10,0,7.316,6695,617-801-1,503-002147,01255823+1024250,,STAR,BV,37.880,0.550,4.980,0.430,6.210,0.540,7.274,0.015,7.218,0.011,,,,,,,,,,,7.086,0.026,7.101,0.033,7.042,0.027,,,,,,,,,434.845
220614808,00 41 11.874,+09 21 18.20,0,6.437,3236,604-1300-1,497-000926,00411185+0921181,,STAR,BV,-122.520,0.420,-103.740,0.300,29.900,0.450,7.037,0.016,6.515,0.010,,,,,,,,,,,5.575,0.030,5.318,0.027,5.280,0.018,,,,,,,,,435.186
